Year,Top 1,Top 2,Top 3,Top 4,Top 5,Top 6,Top 7,Top 8,Top 9,Top 10
1959,'baby': 131,'yeah': 117,'just': 107,'doo': 104,'dum': 92,'ooh': 78,'na': 69,'bye': 60,'gon': 51,'dat': 45
1960,'oop': 128,'yeah': 126,'nah': 103,'ooh': 86,'whoa': 67,'just': 62,'baby': 57,'uh': 56,huh': 54,'wah': 45
1961,'yeah': 145,'baby': 119,'boogety': 91,'dum': 74,'na': 73,'just': 69,'la': 67,'gon': 63,'ooh': 62,'huh': 58
1962,la': 215,yeah': 174,baby': 159,ooh': 115,twist': 107,just': 69,huh': 55,na': 54,whoa': 43,girls': 42
1963,'yeah': 218,'baby': 190,'doo': 104,'na': 98,'just': 93,'gon': 71,'lang': 63,'ee': 61,'ooh': 53,'doobie': 52
1964,'baby': 234,'um': 150,'yeah': 132,'just': 106,'na': 88,'wa': 76,'ooh': 74,gon': 61,"cause"": 46",oo': 42
1965,'baby': 207,'just': 113,'yeah': 106,'ooh': 64,'na': 57,'ai': 53,'cause: 48,"'la': 43,",'whoa': 28, 'girls': 28
1966,'na': 213,'baby': 178,'just': 121,'yeah': 113,'gon': 52,'cause: 46,'la': 41,'lovin': 35,'ai': 27,'bye': 27
1967,ta': 281,'baby': 203,'just': 133,'la': 133,'dit': 91,'yeah': 87,'ooh': 76,'ba': 74,'na': 57,'ai': 54
1968,'na': 332,'baby': 207,'yeah': 177,'just': 131,'la': 100,'gon': 65,'gurdy': 61,'ooh': 58,'ba': 55,'doo': 48
1969,'baby': 294,'na': 221,'yeah': 179,'da': 149,'gon': 111,'just': 96,'ooh': 82,'la': 62,'ba': 55,'cause: 49
1970,'baby': 231,'yeah': 150,'just': 111,'chh': 108,'na': 105,'gim': 102,'lo': 88,'doo': 82,'ooh': 77,'gon': 75
1971,'la': 304,'just': 186,'yeah': 145,'baby': 126,'na': 125,'ya': 104,'da': 100,'gon': 56,'wan': 54,'whatcha': 52
1972,'la': 178,'na': 166,'just': 124,'yeah': 93,baby': 93,'gon': 77,'ling': 56,cause': 50,'eyes': 47,'ding': 47
1973,'yeah': 171,'baby': 144,'ooh': 120,'la': 108,'na': 108,'just': 75,'gon': 65,'ai': 49,cause': 37,'wan': 36
1974,'baby': 264,'na': 189,'la': 155,'just': 136,'yeah': 122,'da': 111,'ooh': 106,'boogie': 94,'gon': 85,'bop': 64
1975,'baby': 213,'yeah': 186,'la': 144,'ooh': 121,'just': 115,'doo': 99,'ai': 79,'na': 71,'satisfied': 61,'gim': 58
1976,'yeah': 221,'na': 208,'ooh': 175,'just': 170,'baby': 169,'gon': 135,'la': 105,'aha': 86,'hoo': 79,'disco': 66
1977,'du': 208,'ooh': 202,'na': 160,'yeah': 139,'doo': 130,just': 128,'ron': 127,'baby': 122,'da': 102,'boogie': 100
1978,'doo': 173,'baby': 165,'ooh': 142,'na': 139,'just': 137,'yeah': 104,'burning': 72,'cause': 70,'gon': 57,'ta': 48
1979,'baby': 203,'ooh': 196,'just': 146,'na': 137,'yeah': 133,'gon': 79,'cause': 73,'ya': 71,'groove': 67,wan': 55
1980,'na': 192,'baby': 189,'gon': 126,'ooh': 122,'just': 120,'yeah': 100,'la': 72,'wan': 65,'uh': 65,'serious': 62
1981,'na': 236,'just': 235,'ooh': 133,'baby': 128,'yeah': 107,'gon': 90,'wan': 80,'ai': 73,'two': 66,'cause': 57
1982,'na': 353,'just': 178,'baby': 168,'gon': 117,'yeah': 115,'de': 59,'alright': 58,'ooh': 54,'wan': 53,'la': 48
1983,'yeah': 210,'just': 182,'ma': 174,'na': 172,'baby': 144,'gon': 112,'ooh': 83,'la': 74,'huh': 64,'em': 61
1984,'na': 262,'just': 248,'ooh': 171,'baby': 145,'yeah': 128,'gon': 95,'ai': 86,'missing': 71,'wan': 68,'bop': 64
1985,'ooh': 230,'na': 222,'just': 188,'yeah': 174,'la': 150,'baby': 145,'whoa': 131,'gon': 110,'wan': 89,'cause': 67
1986,'na': 342,'baby': 200,'ooh': 192,'yeah': 168,'just': 140,'gon': 88,'boys': 79,'wan': 76,'huh': 74,'cause': 71
1987,'na': 320,'just': 271,'yeah': 200,'baby': 196,'gon': 180,'ooh': 149,'la': 101,'wan': 82,'mony': 74,'o': 50
1988,'na': 286,'baby': 265,'just': 247,'wan': 149,'yeah': 146,'gon': 110,'ooh': 101,'eyes': 74,'ai': 64,'cause': 50
1989,'na': 512,'baby': 303,'just': 190,'yeah': 181,'wan': 134,'ba': 114,'ooh': 80,'eyes': 66,'gon': 64,'forever': 59
1990,'na': 334,'baby': 323,'just': 255,'yeah': 229,'wan': 135,'cause': 100,'gon': 97,'ooh': 86,'alright': 80,'ai': 71
1991,'doo': 305,'baby': 268,'na': 240,'just': 224,'yeah': 195,'dit': 167,'wan': 118,'gon': 104,'ooh': 98,'cause': 69
1992,'baby': 339,'na': 336,'doo': 282,'yeah': 260,'just': 254,'wan': 168,'ooh': 150,'gon': 148,'legit': 131,'ai': 128
1993,'baby': 362,'na': 312,'just': 287,'yeah': 275,'gon': 189,'da': 181,'la': 116,'wan': 113,'cause': 98,'ooh': 81
1994,'baby': 331,'na': 327,'just': 274,'yeah': 230,'wan': 163,'cause': 120,'mmm': 91,'gon': 88,'ya': 87,'ai': 73
1995,'yeah': 466,'na': 394,'baby': 345,'just': 264,'wan': 206,'cause': 127,'ta': 99,'gon': 92,'ya': 70,ooh': 58
1996,'baby': 366,'na': 329,'yeah': 278,'choo': 270,'da': 219,'wan': 214,'just': 195,'woo': 146,'gon': 122,'cause': 107
1997,'baby': 384,'na': 365,'just': 297,'yeah': 232,'wan': 218,'uh': 166,'ooh': 131,'gon': 109,'da': 101,'cause': 98
1998,'na': 697,'yeah': 411,'baby': 363,'wan': 321,'just': 214,'uh': 171,'yo': 162,'doo': 156,'la': 118,'cause': 115
1999,'na': 325,'yeah': 317,'baby': 280,'just': 195,'wan': 170,'gon': 159,'dat': 108,'yai': 98,'cause': 85,'da': 84
2000,'na': 780,'yeah': 548,'baby': 355,'wan': 295,'just': 284,'da': 230,'cause': 168,'ooh': 154,'gon': 146,'ba': 123
2001,'yeah': 320,'baby': 297,'just': 258,'na': 251,'uh': 164,"'cause"": 142",'gon': 135,'wan': 132,'ai': 117,'ooh': 76
2002,'baby': 423,'la': 364,'just': 329,'na': 295,'yeah': 284,'cause': 195,'uh': 192,'wan': 183,'gon': 158,'ai': 120
2003,'yeah': 400,'baby': 360,'na': 339,'just': 280,'wan': 233,'uh': 153,'ai': 139,'cause': 129,'ooh': 124,'gon': 123
2004,'yeah': 446,'na': 303,'just': 297,'baby': 294,'gon': 191,'uh': 172,'wan': 169,'ooh': 163,'ai': 158,'ya': 130
2005,'na': 420,'yeah': 296,'just': 267,'baby': 259,'ai': 241,'ooh': 187,'cause': 174,'wan': 159,'uh': 154,'gon': 138
2006,na': 327,'just': 322,'yeah': 318,'wan': 247,'baby': 231,ya': 199,'ai': 192,'uh': 182,'cause': 166,'gon': 130
2007,'na': 415,'yeah': 283,'just': 278,'wan': 249,'uh': 216,'baby': 211,'cause': 210,'ai': 204,'gon': 196,'ooh': 147
2008,'yeah': 432,'na': 395,'just': 379,'wan': 217,'ooh': 215,'cause': 165,'gon': 163,'ai': 141,'baby': 130,'ayy': 105
2009,'na': 644,'da': 411,'just': 335,'yeah': 213,'gon': 186,'baby': 181,'wan': 173,'ooh': 168,'cause': 146,'ai': 117
2010,'yeah': 455,'na': 363,'baby': 363,'just': 265,'gon': 219,'cause': 152,'ai': 136,'uh': 124,'wan': 110,'woah': 96
2011,'yeah': 654,'na': 560,'la': 541,'baby': 313,'just': 260,'ooh': 245,'wan': 213,'cause': 193,'gon': 183,'ai': 156
2012,'yeah': 340,'ooh': 331,'baby': 318,'na': 261,'just': 224,'ass': 136,'la': 131,'wan': 124,'woah': 119,'cause': 106
2013,'na': 448,'yeah': 431,'ooh': 242,'just': 226,'baby': 188,'wan': 155,'cause': 131,'gon': 122,'whoa': 84,'ai': 72
2014,'na': 572,'yeah': 282,'just': 249,'ooh': 232,'baby': 218,'la': 193,'cause': 169,'gon': 167,'wan': 152,'ai': 151
2015,'ooh': 452,'na': 298,'yeah': 274,'just': 257,'baby': 231,'cause': 181,'wan': 175,'gon': 162,'ai': 132,'la': 118
2016,'yeah': 302,'just': 294,'ooh': 280,'na': 232,'baby': 223,'ha': 200,'wan': 157,'ai': 148,'cause': 132,'gon': 113
2017,'yeah': 559,'na': 367,'just': 341,'baby': 262,'ai': 187,'wan': 174,'ooh': 174,'bitch': 171,'ha': 167,'ayy': 149
2018,'yeah': 677,'just': 289,'na': 283,'ooh': 239,'baby': 199,'ai': 195,'ayy': 193,'wan': 153,'gon': 148,'cause': 142
